1	 'Besides,' he used to say, 'he is going to give me his wheelbarrow, and that 'is an act of pure generosity.'	0
2	The Emperor touched one of the walls and it opened, and we passed down a corridor that was lit with many torches.	0
3	Could she mock the eye, as she mocked the voice?	2
4	黑人们抓过他手里的珍珠，又把他推向海中。	3
5	星孩看看盾里的那个人，瞧瞧吧！他的脸完全像过去一样，他的英俊又回到了他身上，他还在他的眼睛里看到了他过去不曾见过的东西。 	0
6	卫兵从城垛间往下看，问我们有何公干。 	3
7	他又抽泣起来，说，母亲，我的痛苦使我不堪忍受啊。	1
8	He told him of the red ibises, who stand in long rows on the banks of the Nile, and catch goldfish in their beaks; of the Sphinx, who is as old as the world itself, and lives in the desert, and knows everything; of the merchants, who walk slowly by the side of their camels, and carry amber beads in their hands; of the King of the Mountains of the Moon, who is as black as ebony, and worships a large crystal; of the great green snake that sleeps in a palmtree, and has twenty priests to feed it with honeycakes; and of the pygmies who sail over a big lake on large flat leaves, and are always at war with the butterflies.	0
9	Crimson was the girdle of petals, and crimson as a ruby was the heart.	0
10	I would much sooner have your good opinion than my silver buttons, any day, and he ran and plucked all his pretty primroses, and filled the Miller's basket.	0
11	那朵红玫瑰听见了，狂喜得直哆嗦，向清冷的晨气绽开了花瓣儿。	0
12	每天他都在城堡屋顶上劈劈啪啪下三个小时，把屋顶上大多数瓦片都打破了；随后他又在花园转呀转呀，忙不迭地奔啊跑啊。 	0
13	Romance is a thing of the past.	1
14	他顿时感到一阵巨大的恐惧，他跟织工说：“你在织什么样的长袍？”	3
15	‘She said that she would dance with me if I brought her red roses,’ cried the young Student; ‘but in all my garden there is no red rose.’	1
16	Inside it is even as a bazaar.	0
17	至于家务吗，这活儿很容易让人衰老，让人分心，不再想高雅的事情。” 	1
18	他的所有穷亲戚他都从来不屑一顾,嗤之以鼻，这时却纷纷冲上天际，在一片片火光中像美妙的金花儿。	0
19	于是她展开她那棕色的翅膀，直冲云霄。	0
20	他穿着一身灰色服装，他吐出的气跟冰差不多。	1
21	他们一高兴了就到卖鸟的那里买一只笼鸟养，有时为一时快乐又把鸟放飞了；他们心里难受了就用刺扎他们自己，减轻他们的忧愁。 	1
22	在大厅的顶头悬挂着一条绣满图案的黑色天鹅绒帷幕，上面撒满太阳和星星,是国王最中意的图案，也是用他最喜欢的颜色刺绣的。 	0
23	她不会钟情于我，我的心会碎的。	1
24	一天夜里，这城市飞来一只小燕子。  	1
25	It ware buskins of brass, and its thick neck was circled with a circle of selenites.	0
26	转眼第二年又过去了，捕鱼的小伙子依然孤零零地呆在那个篱笆房子里，灵魂趁着夜色又对他说：“瞧瞧！我用邪恶引诱过你，我用善良引诱过你，可你的爱情比我强大得多。 	4
27	 I shall never get over it.	1
28	瞧这冷风一个劲儿往屋里刮，我都冻死了。	3
29	Nor could he anywhere find the piece of white gold of which the Magician had spoken, though he sought for it from morn to noon, and from noon to sunset.	1
30	‘Will you come away with me?’ he said finally to her; but the Reed shook her head, she was so attached to her home.	1
31	He flew so high that the people were afraid that he would never come down again.	3
32	Better that we had died of cold in the forest, or that some wild beast had fallen upon us and slain us.'	3
33	这欧洲北部的天气真是吓人。	3
34	Goodbye, cried the Fireballoon, as he soared away, dropping tiny blue sparks.	0
35	one heart to suffer. 	1
36	他愁眉苦脸地离去，把梭子抛进织布机，年轻的国王看见梭子里带着一条金丝。	1
37	但是冬天把我的叶脉冻坏了，霜冻摧毁了我的花蕾，暴风雨折断了我的树枝，今年我没法开玫瑰花了。	1
38	“再见了，”流星火花大声喊叫着，直冲天空，撤下一路小小的蓝色火星。 	1
39	夜莺于是飞到了生长在古老的日晷旁的那棵玫瑰树上。 	0
40	我对磨坊主喜欢得不得了。 	4
41	巫婆由于手掌痒起来,便知道他要来了，她哈哈大笑着把她的红头发放了下来。 	0
42	“不！ ”孩子回答说，“这是爱的伤痕呀。”	4
43	“啊呀，老公啊！”她嘟哝说，“难道我们自家的孩子还不够多，你非要捡一个弃儿往咱炉边挤吗？	2
44	他的头发像风信子花一样乌黑，他的嘴唇像他渴求的玫瑰一样殷红,可是激情使他的脸色白如象牙,忧愁使他的额头紧锁。	1
45	她摇了摇头， 	1
46	Wherefore shouldst thou tarry here calling to thy love, seeing she comes not to thy call?	1
47	The last item on the programme was a grand display of fireworks, to be let off exactly at midnight.	0
48	One of the windows is open, and through it I can see a woman seated at a table.	1
49	‘I am made for public life,’ said the Rocket, ‘and so are all my relations, even the humblest of them.	0
50	But go to my brother who grows round the old sundial, and perhaps he will give you what you want.’	4
51	And he sobbed again and said: 'Mother, my suffering is greater than I can bear.	1
52	“这对我有什么用？”他对她的古怪行为发问道。 	2
53	And he certainly did explode.	0
54	And his Soul answered him, 'When thou didst send me forth into the world thou gavest me no heart, so I learned to do all these things and love them.'	1
55	Yet did its beauty profit him little, for wherever he went harsh briars and thorns shot up from the ground and encompassed him, and evil nettles stung him, and the thistle pierced him with her daggers, so that he was in sore distress. 	3
56	Terribly cold it certainly was.	3
57	 The burden of this world is too great for one man to bear, and the world’s sorrow too heavy for	1
58	他们把我赶岀了城门，谁都不管我的死活。	2
59	那女人就回答他：“我是你的母亲呀。”	4
60	He had been to visit his friend the Cornish ogre, and had stayed with him for seven years.	4
61	‘How happy we were there,’ they said to each other.	1
62	三年中他就这样在世界上寻找，这世界既没人爱他，也没人怜悯他或对他慈悲,可是这个世界正是他春风得意时为自己创造的啊。	1
63	It was a magnificent ceremony, and the bride and bridegroom walked hand in hand under a canopy of purple velvet embroidered with little pearls.	0
64	And the young King looked at him. 	1
65	At last they reached a little bay, and began to take soundings. 	0
66	我喜欢听我自己说话。	0
67	And one of them said to the other: 'This is a bitter ending to our hope, nor have we any good fortune, for what doth a child profit to a man?	1
68	空气又污浊又沉闷，墙壁湿气淋淋,淌着水流。 	1
69	跟我走吧,我的儿子，我需要你的爰哪。	4
70	星孩走出了城门，来到了魔术师告诉他的那片树林旁边。 	3
71	“'如果葡萄酒十分上口我会和他一起喝几杯；如果葡萄酒十分苦涩，那我也会和他同杯共饮。'我回答说。 	4
72	于是，夜莺给圣栎树唱歌儿，她的声音好像水从银壶里泻岀来那样叮咚作响。	0
73	They did not understand a single word of what he was saying, but that made no matter, for they put their heads on one side, and looked wise, which is quite as good as understanding a thing, and very much easier.	0
74	人们对我的胆大妄为大吃一惊，纷纷劝我逃离这个城市。 	3
75	所以这就是神，我们都对它顶礼膜拜。 	3
76	So they flew round and round him, just touching his cheek with their wings as they passed, and chattered to each other, and the little Dwarf was so pleased that he could not help showing them the beautiful white rose, and telling them that the Infanta herself had given it to him because she loved him.	0
77	And to the little Squirrel who lived in the fir–tree, and was lonely, he said, 'Where is my mother?'	0
78	‘How happy we are here!’ they cried to each other.	0
79	国宴过后是舞会。 	0
80	Loose me,' she cried, 'and let me go.	2
81	他们于是进了城，穿过街道，路过拖鞋商街，捕鱼的小伙子看见一个孩子站在水罐旁边。 	1
82	On and on went the two Woodcutters, blowing lustily upon their fingers, and stamping with their huge iron–shod boots upon the caked snow.	2
83	每天晚上他都出海捕鱼，一天晚上网子异常沉重，他简直无法把网子拉到船上去。 	3
84	她像影子一样掠过花园，像影子一样穿过树林。 	3
85	他想看到她一个人呆在哪里,告诉她他心心念念爱着她。 	4
86	他笑起来，把她抓得更紧了。 	0
87	“我的要求只是小事一件，”捕鱼的小伙子说,“可是刚刚却让神父对我大发脾气，把我赶出来了。 	2
88	街上突然传来一阵闹哄哄的喧嚣，那些宫廷大员来势汹汹闯了进来，他们手中的剑已出鞘，盾牌闪着金属的光泽，头上的冠羽摇来晃去。	3
89	The King is there himself in his painted coffin.	1
90	And Death laughed, and took a cup, and dipped it into a pool of water, and out of the cup rose Ague. 	0
91	‘Your picture was beautiful,’ he murmured, ‘but you are more beautiful than your picture’; and the little Princess blushed.	0
92	One winter morning he looked out of his window as he was dressing. 	0
93	国王的儿子要结婚，各种大庆小庆是少不了的。	0
94	他们走到村边时，他的同伴对他说:“你得到了孩子，那就快把斗篷给我吧,曰:星孩既然是一起看见的，就应平分才对。 	4
95	You must sing to me with your breast against a thorn.	3
96	Therefore weep no more but be glad.	0
97	告诉我如何才能打发走我身上的灵魂，我真的是不需要它了。 	3
98	他还曾度过一个不眠之夜，观察月光下的恩底弥翁団的银塑像。 	1
99	Every afternoon, as they were coming from school, the children used to go and play in the Giant's garden. 	0
100	“小汉斯有许多朋友，不过其中最忠诚的朋友是磨坊主大个子休。 	4
101	But the young Fisherman listened not to his Soul, but called on the little Mermaid and said, 'Love is better than wisdom, and more precious than riches, and fairer than the feet of the daughters of men.	4
102	凡是陪他去留给他使用的那套房间的人，都经常提到他一看见为他准备的精美衣服和大量珠宝快活得脱口惊叫；提到他脱掉他那身粗糙的皮束，腰外衣和破旧的羊皮长袍时欣喜若狂的样子。 	0
103	Surely thou mayest enter,' said the young Fisherman, 'for in the days when with no heart thou didst go through the world thou must have much suffered.'	4
104	And the young Fisherman laughed.	0
105	No, answered the Linnet, "I don't think he was distinguished at all, except for his kind heart, and his funny round goodhumoured face.	0
106	背朝月亮站在海岸边，从你脚边把你的影子割开，这是你的灵魂的肉体，吩咐你的灵魂离开你，灵魂就真会离开你的。” 	3
107	他到处寻找，却总找不到魔术师说的那块白金，找啊找啊，从早上找到中午，从中午找到夕阳西下。	1
